business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
ufaXLv3_JPtHjlqDrK6V8Q,Ross Dress for Less,1745 Manhattan Blvd,Harvey,LA,70058,29.889415,-90.052896,3.0,13,1
scZ4wwY8oaVH9qjzosb1gA,Ross Dress for Less,701 Market St,Philadelphia,PA,19106,39.9512937,-75.1526227,3.0,52,1
0_zkJZc4GbOzZlEMYCaOUQ,Ross Dress for Less,4425 N Oracle Rd,Tucson,AZ,85705,32.287201,-110.979864,2.0,9,1
uvhMMDPUCDvKVqblkyhccQ,Ross Dress for Less,1028 Glenbrook Way,Hendersonville,TN,37075,36.334475,-86.6234174,3.0,5,1
dB8MGAiPlqcUrI9ysI62GA,Ross Dress for Less,911 Old York Rd,Jenkintown,PA,19046,40.1070297289,-75.1217738986,2.5,5,1
YoLohjXzONVlkIEMk5IcSA,Ross Dress for Less,719 Thompson Ln,Nashville,TN,37204,36.109756,-86.765356,2.0,31,1
b4FADWEztjbpF29P47RJTQ,Ross Dress for Less,"385 N Milwaukee St, Westpark Towne Plaza",Boise,ID,83704,43.6087622,-116.2847686,2.5,6,1
Jq0n_srygqLuwL6JT7wYdw,Ross Dress for Less,401 S Mount Juliet Rd,Mount Juliet,TN,37122,36.1667027,-86.51026702,2.0,7,1
RG0dEFLHmAcBMGAs1ls8Ww,Ross Dress for Less,14940 N Dale Mabry Hwy,Tampa,FL,33618,28.085976,-82.5061591,2.5,15,1
GWCQfBlh2uWDZ_GWRUPGpw,Ross Dress for Less,"10575 N Oracle Rd, Rooney Ranch Center",Oro Valley,AZ,85737,32.400051619,-110.9594016465,3.5,7,1
dOLigqxETVfFkkJUIAay9A,Ross Dress for Less,6210 Commerce Palms Blvd,Tampa,FL,33647,28.117922,-82.376461,3.0,16,1
kwAJpj9UglWBnH8aBUo2KQ,Ross Dress for Less,5220 E Bay Dr,Largo,FL,33764,27.9179981,-82.7327754,2.0,10,1
zUi8q2o7PQt59hPB7o43_g,Ross Dress for Less,3705 Tampa Rd,Oldsmar,FL,34677,28.045581,-82.677963,3.0,11,1
Pez4S3hmwBdbOpxf86j-sw,Ross Dress for Less,"2950 Northtowne Ln, Northtowne Plaza",Reno,NV,89512,39.5579409084,-119.7807600516,1.5,6,0
7hL5wCzn7NNuzswx-7VIIQ,Ross Dress for Less,7055 Marketplace Dr,Goleta,CA,93117,34.4274852,-119.8730819,3.5,33,1
o3RzkJ6yRhE6_YN5786feA,Ross Dress for Less,2419 S 24th St,Philadelphia,PA,19145,39.9216159,-75.1862836,2.5,9,1
tgcRdoi_n59qMqR3GP2GdQ,Ross Dress For Less,6610 Edwardsville Crossing Dr,Edwardsville,IL,62025,38.788267,-89.956338,2.5,5,1
yDe_v-87VIBira9u-GekWw,Ross Dress for Less,813 Industrial Blvd,Smyrna,TN,37167,35.979723,-86.568591,3.0,12,1
tSwCMiCiAXgiVzeW68RWfA,Ross Dress for Less,2890 North Campbell Ave,Tucson,AZ,85719,32.2592123718,-110.9425656734,3.0,14,1
khWlsWEYXoISg7PDQGjvyw,Ross Dress for Less,2333 Welsh Rd,Lansdale,PA,19446,40.2638560734,-75.3160119294,2.0,8,1
AVh6_Qx1nz6jmCzqthX5_Q,Ross Dress for Less,4860 Park St N,St. Petersburg,FL,33709,27.816354,-82.756002,3.5,11,1
ujJF9TpJGRSx07RmnEmxkA,Ross Dress for Less,4640 Roosevelt Blvd,Philadelphia,PA,19124,40.030637,-75.100221,3.0,8,1
mdSwEJaS_142TPGc66Al_g,Ross Dress for Less,2327 Cottman Ave,Philadelphia,PA,19149,40.047617,-75.055176,1.5,12,1
FdxyUg6puHeyjgp4Ue8imQ,Ross Dress for Less,130 Sunset Blvd,New Castle,DE,19720,39.6696291,-75.5980751,1.5,8,1
OQqBFuA5tcxdHog8YgMRcQ,Ross Dress for Less,424 Oregon Ave,Philadelphia,PA,19148,39.9139274,-75.1493895,2.5,7,1
d1s7_c4Z76wuEkJKGbXnig,Ross Dress for Less,135 Brandon Town Center Dr,Brandon,FL,33511,27.9379921,-82.3232299,2.5,20,1
5hcVlXQmyOZvP1ED7Q8viw,Ross Dress for Less,1170 Nixon Dr,Mt. Laurel,NJ,08054,39.937047,-74.96364,2.5,11,1
yiSQYHLUKkebZi_RVjJcfg,Ross Dress for Less,3487 W 86th St,Indianapolis,IN,46268,39.909473,-86.218701,2.5,13,1
f9u-mrKG4l8kHqIymE1kxA,Ross Dress for Less,1001  Pontiac Rd.,Drexel Hill,PA,19026,39.9552495,-75.3229889,3.5,6,1
R0yS7JKOouL5_sHZhK_CKw,Ross Dress for Less,2800 Fox St,Philadelphia,PA,19129,40.008727,-75.176519,2.5,5,1
Tz4CQChQrO9-MQnUo8CaKw,Ross Dress for Less,21605 Village Lakes Shopping Center Dr,Land O Lakes,FL,34639,28.191227,-82.459026,3.0,8,1
DG7rpt4xs_WAfIQUzCXvkQ,Ross Dress for Less,6005 N Illinois St,Fairview Heights,IL,62208,38.5873932,-89.9875205,2.5,10,1
_tUW5hBCHwgYv3HEnih6pg,Ross Dress for Less,5120 Mae Anne Ave,Reno,NV,89523,39.529954,-119.866152,2.5,34,1
J4yMOljyWpF35VIGj2gVPA,Ross Dress for Less,"130 Blackhorse Pike, Ste 512",Audubon,NJ,08106,39.8911762427,-75.0864027944,3.5,6,1
a7njro5dH3tIlDlOEDscqQ,Ross Dress for Less,2231 E Hillsborough Ave,Tampa,FL,33610,27.994638,-82.433907,2.5,7,1
Le1o2k53Ha2ilsdee4f5_Q,Ross Dress for Less,2733 Gulf To Bay Blvd,Clearwater,FL,33759,27.956911,-82.725022,2.5,22,1
gzJBT0Bc5Ffyj1o4cKb1aA,Ross Dress for Less,7720 City Line Ave,Philadelphia,PA,19151,39.97723,-75.273857,2.5,17,1
tU7adDo8044h2W_UmWgQDg,Ross Dress for Less,"13554 University Plaza St, University Plaza",Tampa,FL,33613,28.071357,-82.429775,3.0,10,1
ZpLH0_h283MwUXeBeBKqug,Ross Dress for Less,5901 Wesley Grove,Wesley Chapel,FL,33544,28.242811963,-82.3535583632,3.0,9,1
AoxoMoRyxVIQlkiWNs4J8A,Ross Dress for Less,7475 N La Cholla Blvd,Tucson,AZ,85741,32.342939,-111.014233,3.0,12,0
68guZonHEj6YvGqGERSOJw,Ross Dress for Less,233 W Alexander St,Plant City,FL,33563,27.9879156,-82.1248785,2.0,5,1
q92IcfNdr392c_XlxASh1A,Ross Dress for Less,1165 W Irvington Rd,Tucson,AZ,85714,32.159276,-110.987032,1.5,14,1
hpphItQ51PZrmtFVLkCNCA,Ross Dress for Less,1500 Almonesson Rd,Deptford,NJ,08096,39.8262184,-75.1004791,3.0,6,1
8t33UzQWLhDdOKQG9MBt9Q,Ross Dress for Less,"2420 Chemical Rd, Metroplex West Shopping Center",Plymouth Meeting,PA,19462,40.1027741,-75.2918566,2.0,22,1
JzrwB91Q3QQXsA31qFILhg,Ross Dress for Less,523 S McDade Blvd,Holmes,PA,19043,39.898633,-75.302494,3.5,7,1
HYnVng9EYOckm4cp_2QPjQ,Ross Dress for Less,3614 S Lindbergh Blvd,St Louis,MO,63127,38.55372,-90.4064,2.5,7,0
pYYNjwSs_pZbMaiBzZJU-Q,Ross Dress for Less,3485 E Broadway Blvd,Tucson,AZ,85716,32.223449,-110.917973,2.5,17,1
qqpMdHsQEmUZwFtEdp63AA,Ross Dress for Less,5550 E Grant Rd,Tucson,AZ,85712,32.2496004,-110.8723355,2.0,8,1
dqJ1121ixqjegjE3B5rMnA,Ross Dress for Less,8030 N Cortaro Rd,Tucson,AZ,85743,32.35268,-111.093079,2.5,5,1
2jY1cZxE9_RFAJQXQZ62cg,Ross Dress for Less,2234 Route 70 W,Cherry Hill,NJ,08002,39.927531,-75.042979,2.5,6,1
OOpYM-E9jwpMP5pF3MVqgQ,Ross Dress for Less,12775 Citrus Plaza Dr,Tampa,FL,33625,28.0637844,-82.5750361,2.0,23,1
EI94VsRztUbpgHsb7LqX2w,Ross Dress for Less,9576 US Hwy 19,Port Richey,FL,34668,28.2958569,-82.7048318,2.5,7,1
c4Ga5mqXZzzQOXYylbSMkA,Ross Dress for Less,3965 State St,Santa Barbara,CA,93105,34.4384325961,-119.7522690562,2.5,37,1
yrSInKbQE6muPNpBNU0USw,Ross Dress for Less,3501 Route 42,Turnersville,NJ,08012,39.7267097,-75.0357308,3.5,5,1
GCjEGpVWgtJtRRSBuidRJA,Ross Dress for Less,5415-A E 82nd St,Indianapolis,IN,46250,39.9036933,-86.0762799,2.5,23,1
wudNbKux2vdP4y8LHTawAw,Ross Dress for Less,18705 S I-19 Frontage Rd,Sahuarita,AZ,85614,31.91003,-110.983415,2.0,11,1
NeGwytssfYPOhqvlPRQKLQ,Ross Dress for Less,1614 Galleria Blvd,Brentwood,TN,37027,35.9692866,-86.807833,2.0,14,1
e_WaBgDx12oVOFbVcVa_cQ,Ross Dress for Less,3026 Holiday Dr,New Orleans,LA,70131,29.922801,-90.011861,3.5,7,1
ySWl63QyaEWJ0lSMFM6Pmg,Ross Dress for Less,3200 Laclede Station Rd,Maplewood,MO,63143,38.604201,-90.330292,2.5,11,1
p0zM0sQ-hvfAzecBYUrL6g,Ross Dress for Less,2900 S Claiborne Ave,New Orleans,LA,70115,29.9409261395,-90.0949935423,2.5,14,1
PDJCK2RNMNVjNEdHie7_5w,Ross Dress for Less,11310 West Florissant Ave.,Florissant,MO,63033,38.7745203,-90.2792457,2.0,5,1
lUiCt0zE4Mx-XztDd4mKOQ,Ross Dress for Less,1437 Wendy Ct,Spring Hill,FL,34607,28.455755,-82.6323909,3.0,10,1
C_bDLrkd2MF4Ej69mMMhxQ,Ross Dress for Less,2050 Tyrone Blvd N,St. Petersburg,FL,33710,27.7878388,-82.7263135,3.0,15,1
JhpRvhqHzs2727zo8gVTqQ,Ross Dress for Less,520 N McCarran Blvd,Sparks,NV,89431,39.538619,-119.73319,2.5,11,1
u-TXTJexhAeGCwYcS5EE5A,Ross Dress for Less,9600 E 22nd St,Tucson,AZ,85748,32.205116,-110.78772,2.0,9,1
_8A-0knz2yjMX5XlevSRow,Ross Dress for Less,9240 S Houghton Rd,Tucson,AZ,85747,32.0840698,-110.774411,2.0,5,1
nm1R94P2eXyWjgo-YK34VA,Ross Dress for Less,3001 W Cheltenham Ave,Wyncote,PA,19095,40.0794723343,-75.16659733,2.5,7,1
ZIv2YOgo4oIjSMq-EGifGw,Ross Dress for Less,6808 Charlotte Pike,Nashville,TN,37209,36.1363716,-86.8907028,3.0,14,1
brMNsgCN-DQAMUI3wFRL-A,Ross Dress for Less,2565 Countryside Blvd.,Clearwater,FL,33761,28.015106,-82.733125,3.0,11,1
q_m6uTVdXS-OuD39e53r5g,Ross Dress for Less,"215 Los Altos Pkwy, Sparks Crossing",Sparks,NV,89436,39.581277,-119.73998,3.5,9,1
